# SOC,Actual SOC,Current,Calculated SOC ,Time,Time final
1,100,0,100,7074.024087,173
1,100,0,100,7075.024087,174
1,100,0,100,7076.024087,175
1,100,0,100,7077.024087,176
1,100,0,100,7078.024087,177
1,100,0,100,7079.024087,178
1,100,0,100,7080.024087,179
1,100,0,100,7081.024087,180
1,100,0,100,7082.024087,181
1,100,0,100,7083.024087,182
1,100,0,100,7084.024087,183
1,100,0,100,7085.024087,184
1,100,0,100,7086.024087,185
1,100,0,100,7087.024087,186
1,100,0,100,7088.024087,187
1,100,0,100,7089.024087,188
1,100,0,100,7090.024087,189
1,100,0,100,7091.024087,190
1,100,0,100,7092.024087,191
1,100,0,100,7093.024087,192
1,100,0,100,7094.024087,193
1,100,0,100,7095.024087,194
1,100,0,100,7096.024087,195
1,100,0,100,7097.024087,196
1,100,0,100,7098.024087,197
1,100,0,100,7099.024087,198
1,100,0,100,7100.024087,199
1,100,0,100,7101.024087,200
1,100,0,100,7102.024087,201
1,100,0,100,7103.024087,202
1,100,0,100,7104.024087,203
1,100,0,100,7105.024087,204
1,100,0,100,7106.024087,205
1,100,0,100,7107.024087,206
1,100,0,100,7108.024087,207
1,100,0,100,7109.024087,208
1,100,0,100,7110.024087,209
1,100,0,100,7111.024087,210
1,100,0,100,7112.024087,211
1,100,0,100,7113.024087,212
1,100,0,100,7114.024087,213
1,100,0,100,7115.024087,214
1,100,0,100,7116.024087,215
1,100,0,100,7117.024087,216
1,100,0,100,7118.024087,217
1,100,0,100,7119.024087,218
1,100,0,100,7120.024087,219
1,100,0,100,7121.024087,220
1,100,0,100,7122.024087,221
1,100,0,100,7123.024087,222
1,100,0,100,7124.024087,223
1,100,0,100,7125.024087,224
1,100,0,100,7126.024087,225
1,100,0,100,7127.024087,226
1,100,0,100,7128.024087,227
1,100,0,100,7129.024087,228
1,100,0,100,7130.024087,229
1,100,0,100,7131.024087,230
1,100,0,100,7132.024087,231
1,100,0,100,7133.024087,232
1,100,0,100,7134.024087,233
1,100,0,100,7135.024087,234
1,100,0,100,7136.024087,235
1,100,0,100,7137.024087,236
1,100,0,100,7138.024087,237
1,100,0,100,7139.024087,238
1,100,0,100,7140.024087,239
1,100,0,100,7141.024087,240
1,100,0,100,7142.024087,241
1,100,0,100,7143.024087,242
1,100,0,100,7144.024087,243
1,100,0,100,7145.024087,244
1,100,0,100,7146.024087,245
1,100,0,100,7147.024087,246
1,100,0,100,7148.024087,247
1,100,0,100,7149.024087,248
1,100,0,100,7150.024087,249
1,100,0,100,7151.024087,250
1,100,0,100,7152.024087,251
1,100,0,100,7153.024087,252
1,100,0,100,7154.024087,253
1,100,0,100,7155.024087,254
1,100,0,100,7156.024087,255
1,100,0,100,7157.024087,256
1,100,0,100,7158.024087,257
1,100,0,100,7159.024087,258
1,100,0,100,7160.024087,259
1,100,0,100,7161.024087,260
1,100,0,100,7162.024087,261
1,100,0,100,7163.024087,262
1,100,0,100,7164.024087,263
1,100,0,100,7165.024087,264
1,100,0,100,7166.024087,265
1,100,0,100,7167.024087,266
1,100,0,100,7168.024087,267
1,100,0,100,7169.024087,268
1,100,0,100,7170.024087,269
1,100,0,100,7171.024087,270
1,100,0,100,7172.024087,271
1,100,0,100,7173.024087,272
1,100,0,100,7174.024087,273
1,100,0,100,7175.024087,274
1,100,0,100,7176.024087,275
1,100,0,100,7177.024087,276
1,100,0,100,7178.024087,277
1,100,0,100,7179.024087,278
1,100,0,100,7180.024087,279
1,100,0,100,7181.024087,280
1,100,0,100,7182.024087,281
1,100,0,100,7183.024087,282
1,100,0,100,7184.024087,283
1,100,0,100,7185.024087,284
1,100,0,100,7186.024087,285
1,100,0,100,7187.024087,286
1,100,0,100,7188.024087,287
1,100,0,100,7189.024087,288
1,100,0,100,7190.024087,289
1,100,0,100,7191.024087,290
1,100,0,100,7192.024087,291
1,100,0,100,7193.024087,292
1,100,0,100,7194.024087,293
1,100,0,100,7195.024087,294
1,100,0,100,7196.024087,295
1,100,0,100,7197.024087,296
1,100,0,100,7198.024087,297
1,100,0,100,7199.024087,298
1,100,0,100,7200.024087,299
1,100,0,100,7201.024087,300
1,100,0,100,7202.024087,301
1,100,0,100,7203.024087,302
1,100,0,100,7204.024087,303
1,100,0,100,7205.024087,304
1,100,0,100,7206.024087,305
1,100,0,100,7207.024087,306
1,100,0,100,7208.024087,307
1,100,0,100,7209.024087,308
1,100,0,100,7210.024087,309
1,100,0,100,7211.024087,310
1,100,0,100,7212.024087,311
1,100,0,100,7213.024087,312
1,100,0,100,7214.024087,313
1,100,0,100,7215.024087,314
1,100,0,100,7216.024087,315
1,100,0,100,7217.024087,316
1,100,0,100,7218.024087,317
1,100,0,100,7219.024087,318
1,100,0,100,7220.024087,319
1,100,0,100,7221.024087,320
1,100,0,100,7222.024087,321
1,100,0,100,7223.024087,322
1,100,0,100,7224.024087,323
1,100,0,100,7225.024087,324
1,100,0,100,7226.024087,325
1,100,0,100,7227.024087,326
1,100,0,100,7228.024087,327
1,100,0,100,7229.024087,328
1,100,0,100,7230.024087,329
0.999860548,99.9860548,12.31897888,100,7231.024087,330
0.999721028,99.9721028,12.49697399,99.98550708,7232.024087,331
0.999581512,99.9581512,12.49697399,99.97080476,7233.024087,332
0.999441997,99.9441997,12.49697399,99.95610244,7234.024087,333
0.999302482,99.9302482,12.49697399,99.94140012,7235.024087,334
0.999162965,99.9162965,12.4932451,99.92669779,7236.024087,335
0.999023447,99.9023447,12.49290657,99.91199986,7237.024087,336
0.998883924,99.8883924,12.4965232,99.89730232,7238.024087,337
0.998744409,99.8744409,12.49341339,99.88260053,7239.024087,338
0.998604888,99.8604888,12.49991645,99.8679024,7240.024087,339
0.998465372,99.8465372,12.49759314,99.85319661,7241.024087,340
0.998325851,99.8325851,12.5003671,99.83849356,7242.024087,341
0.998186339,99.8186339,12.49770537,99.82378725,7243.024087,342
0.998046821,99.8046821,12.49697399,99.80908406,7244.024087,343
0.997907305,99.7907305,12.49697399,99.79438174,7245.024087,344
0.99776779,99.776779,12.49697399,99.77967942,7246.024087,345
0.997628275,99.7628275,12.49697399,99.7649771,7247.024087,346
0.997488762,99.7488762,12.50003028,99.75027478,7248.024087,347
0.99734924,99.734924,12.49804212,99.73556886,7249.024087,348
0.997209723,99.7209723,12.49403047,99.72086528,7250.024087,349
0.997070208,99.7070208,12.49579384,99.70616642,7251.024087,350
0.996930684,99.6930684,12.49414282,99.69146548,7252.024087,351
0.996791166,99.6791166,12.49568172,99.67676649,7253.024087,352
0.99665165,99.665165,12.49425495,99.66206569,7254.024087,353
0.996512131,99.6512131,12.49290657,99.64736657,7255.024087,354
0.996372613,99.6372613,12.49551328,99.63266903,7256.024087,355
0.996233098,99.6233098,12.49697399,99.61796843,7257.024087,356
0.996093584,99.6093584,12.49697399,99.6032661,7258.024087,357
0.995954069,99.5954069,12.49697399,99.58856378,7259.024087,358
0.995814553,99.5814553,12.49935681,99.57386146,7260.024087,359
0.995675037,99.5675037,12.50104237,99.55915633,7261.024087,360
0.995535518,99.5535518,12.49877166,99.54444923,7262.024087,361
0.995395998,99.5395998,12.49697399,99.52974479,7263.024087,362
0.995256483,99.5256483,12.494816,99.51504247,7264.024087,363
0.995116969,99.5116969,12.49290657,99.50034268,7265.024087,364
0.994977454,99.4977454,12.49495236,99.48564515,7266.024087,365
0.994837934,99.4837934,12.49896413,99.4709452,7267.024087,366
0.994698415,99.4698415,12.4991084,99.45624054,7268.024087,367
0.994558896,99.4558896,12.49697399,99.4415357,7269.024087,368
0.994419378,99.4419378,12.49515266,99.42683338,7270.024087,369
0.994279862,99.4279862,12.49467168,99.4121332,7271.024087,370
0.994140345,99.4140345,12.49697399,99.39743359,7272.024087,371
0.994000826,99.4000826,12.4986272,99.38273127,7273.024087,372
0.99386131,99.386131,12.49944522,99.368027,7274.024087,373
0.993721793,99.3721793,12.49851512,99.35332177,7275.024087,374
0.993582275,99.3582275,12.49955754,99.33861763,7276.024087,375
0.993442762,99.3442762,12.49697399,99.32391227,7277.024087,376
0.993303247,99.3303247,12.49697399,99.30920995,7278.024087,377
0.99316373,99.316373,12.49697399,99.29450763,7279.024087,378
0.993024214,99.3024214,12.49697399,99.2798053,7280.024087,379
0.992884694,99.2884694,12.49697399,99.26510298,7281.024087,380
0.992745182,99.2745182,12.49467759,99.25040066,7282.024087,381
0.992605668,99.2605668,12.49102231,99.23570104,7283.024087,382
0.992466153,99.2466153,12.49697399,99.22100572,7284.024087,383
0.992326637,99.2326637,12.49795392,99.2063034,7285.024087,384
0.992187119,99.2187119,12.49919492,99.19159992,7286.024087,385
0.992047604,99.2047604,12.4937741,99.17689499,7287.024087,386
0.99190809,99.190809,12.49697399,99.16219643,7288.024087,387
0.991768572,99.1768572,12.49621881,99.14749411,7289.024087,388
0.991629049,99.1629049,12.49430492,99.13279267,7290.024087,389
0.991489533,99.1489533,12.50039974,99.11809349,7291.024087,390
0.991350019,99.1350019,12.49638699,99.10338714,7292.024087,391
0.991210506,99.1210506,12.49343741,99.08868551,7293.024087,392
0.991070997,99.1070997,12.49697399,99.07398734,7294.024087,393
0.990931479,99.0931479,12.49655538,99.05928502,7295.024087,394
0.990791964,99.0791964,12.49290657,99.04458319,7296.024087,395
0.990652452,99.0652452,12.49321306,99.02988565,7297.024087,396
0.990512937,99.0512937,12.49672372,99.01518776,7298.024087,397
0.990373422,99.0373422,12.49329489,99.00048573,7299.024087,398
0.990233908,99.0233908,12.50090423,98.98578774,7300.024087,399
0.990094393,99.0094393,12.49697399,98.97108079,7301.024087,400
0.989954871,98.9954871,12.49697399,98.95637847,7302.024087,401
0.989815356,98.9815356,12.49697399,98.94167614,7303.024087,402
0.989675834,98.9675834,12.4929929,98.92697382,7304.024087,403
0.989536318,98.9536318,12.49683156,98.91227618,7305.024087,404
0.989396802,98.9396802,12.49310508,98.89757403,7306.024087,405
0.989257281,98.9257281,12.49671951,98.88287626,7307.024087,406
0.989117765,98.9117765,12.49321726,98.86817423,7308.024087,407
0.988978247,98.8978247,12.49660703,98.85347633,7309.024087,408
0.98883873,98.883873,12.50061937,98.83877444,7310.024087,409
0.988699216,98.8699216,12.49386468,98.82406783,7311.024087,410
0.988559701,98.8559701,12.49997195,98.80936917,7312.024087,411
0.988420186,98.8420186,12.49756544,98.79466332,7313.024087,412
0.988280673,98.8280673,12.49355395,98.7799603,7314.024087,413
0.988141154,98.8141154,12.49627061,98.765262,7315.024087,414
0.988001636,98.8001636,12.49697399,98.75056051,7316.024087,415
0.987862117,98.7862117,12.49372252,98.73585818,7317.024087,416
0.987722599,98.7722599,12.49610222,98.72115969,7318.024087,417
0.987583078,98.7583078,12.49697399,98.70645839,7319.024087,418
